ts,bid_px,ask_px,bid_sz,ask_sz
1773754204797295874,250.0,253.35,100.0,100.0
1773754204797321102,252.55,253.35,100.0,100.0
1773754204799919906,250.0,253.35,100.0,100.0
1773754204799943934,252.56,253.35,100.0,100.0
1773754204800810889,250.0,253.35,100.0,100.0
1773754204800834548,252.56,253.35,100.0,100.0
1773754204801815858,250.0,253.35,100.0,100.0
1773754204801838439,252.57,253.35,100.0,100.0
1773754204817076918,252.59,253.35,100.0,100.0
1773754204854819456,252.59,253.35,200.0,100.0
1773754204868433383,252.59,253.35,100.0,100.0
1773754204891951347,252.59,252.7,100.0,100.0
1773754204892140859,252.56,252.7,100.0,100.0
1773754204892645305,252.56,252.7,200.0,100.0
1773754204893557983,252.56,252.7,100.0,100.0
1773754204893572083,252.56,252.7,200.0,100.0
1773754204894451688,252.56,252.7,100.0,100.0
1773754204894478093,252.57,252.7,100.0,100.0
1773754205128516082,252.57,252.71,100.0,100.0
1773754205128937684,252.61,252.71,100.0,100.0
1773754205128959402,252.61,253.35,100.0,100.0
1773754205129098372,252.61,253.35,200.0,100.0
1773754205129129777,252.61,253.35,100.0,100.0
1773754205129787430,252.61,253.35,200.0,100.0
1773754205129791480,252.61,253.35,100.0,100.0
1773754205129849987,250.0,253.35,100.0,100.0
1773754205132121507,250.0,252.78,100.0,100.0
1773754205137315242,252.64,252.78,100.0,100.0
1773754205148862953,250.0,252.78,100.0,100.0
1773754205252900213,250.0,253.35,100.0,100.0
1773754205379424864,250.0,252.85,100.0,100.0
1773754205398005417,250.0,253.35,100.0,100.0
1773754205399216485,250.0,252.82,100.0,100.0
1773754205400217591,250.0,253.35,100.0,100.0
1773754205400241565,250.0,252.81,100.0,100.0
1773754205443447070,250.0,252.76,100.0,100.0
1773754205443610241,252.54,252.76,100.0,100.0
1773754205443629157,252.54,253.35,100.0,100.0
1773754205443656095,252.54,252.76,100.0,100.0
1773754205443716482,250.0,252.76,100.0,100.0
1773754205443946374,250.0,253.35,100.0,100.0
1773754205443971681,250.0,252.75,100.0,100.0
1773754205621124909,252.55,252.75,100.0,100.0
1773754205621158747,252.55,253.35,100.0,100.0
1773754205721873876,250.0,253.35,100.0,100.0
1773754205722775475,250.0,252.75,100.0,100.0
1773754205826438184,250.0,253.35,100.0,100.0
1773754205826491123,250.0,252.71,100.0,100.0
1773754205827343300,250.0,253.35,100.0,100.0
1773754205897519301,250.0,252.71,100.0,100.0
1773754205901081297,250.0,253.35,100.0,100.0
1773754205906792503,250.0,252.71,100.0,100.0
1773754205907177039,252.55,252.71,100.0,100.0
1773754206000680057,252.55,252.72,100.0,100.0
1773754206000980739,252.66,252.72,100.0,100.0
1773754206001195011,252.66,253.35,100.0,100.0
1773754206001282400,250.0,253.35,100.0,100.0
1773754206001534345,252.66,253.35,100.0,100.0
1773754206001673757,250.0,253.35,100.0,100.0
1773754206005321725,250.0,252.68,100.0,100.0
1773754206005535533,250.0,253.35,100.0,100.0
1773754206027078775,252.62,253.35,100.0,100.0
1773754206051307157,252.65,253.35,100.0,100.0
1773754206051478053,250.0,253.35,100.0,100.0
1773754206051570775,252.65,253.35,100.0,100.0
1773754206051771058,250.0,253.35,100.0,100.0
1773754206052038897,252.63,253.35,100.0,100.0
1773754206052080959,250.0,253.35,100.0,100.0
1773754206052107165,252.64,253.35,100.0,100.0
1773754206052127165,250.0,253.35,100.0,100.0
1773754206052233578,252.64,253.35,100.0,100.0
1773754206052259391,250.0,253.35,100.0,100.0
1773754206052299033,252.64,253.35,100.0,100.0
1773754206052412395,250.0,253.35,100.0,100.0
1773754206056587829,250.0,252.75,100.0,100.0
1773754206056678065,250.0,253.35,100.0,100.0
1773754206056758274,250.0,252.75,100.0,100.0
1773754206056780581,250.0,253.35,100.0,100.0
1773754206056804478,250.0,252.74,100.0,100.0
1773754206057919252,252.63,252.74,100.0,100.0
1773754206058123444,252.63,253.35,100.0,100.0
1773754206058145943,252.63,252.73,100.0,100.0
1773754206058516668,250.0,252.73,100.0,100.0
1773754206058542549,252.63,252.73,100.0,100.0
1773754206059614628,250.0,252.73,100.0,100.0
1773754206059639942,252.63,252.73,100.0,100.0
1773754206060705154,250.0,252.73,100.0,100.0
