ts,open_px,high_px,low_px,close_px,volume
1773766320000,671.37,671.37,671.1,671.16,3061.0
1773766380000,671.13,671.21,671.11,671.15,1060.0
1773766440000,671.2,671.26,671.2,671.215,307.0
1773766500000,671.21,671.39,671.21,671.39,707.0
1773766560000,671.34,671.425,671.315,671.315,2245.0
1773766620000,671.335,671.335,671.05,671.07,1173.0
1773766680000,671.11,671.15,670.97,670.97,1910.0
1773766740000,670.94,670.99,670.91,670.96,1051.0
1773766800000,671.05,671.19,671.05,671.13,2975.0
1773766860000,671.25,671.36,671.21,671.21,753.0
1773766920000,671.27,671.8,671.27,671.79,403.0
1773766980000,671.77,671.9,671.64,671.89,1488.0
1773767040000,671.83,671.89,671.82,671.85,771.0
1773767100000,671.76,671.82,671.69,671.8,1969.0
1773767160000,671.75,671.795,671.685,671.795,1120.0
1773767220000,671.78,671.82,671.63,671.65,869.0
1773767280000,671.71,671.89,671.71,671.89,475.0
1773767340000,671.8,671.89,671.8,671.89,415.0
1773767400000,671.79,671.86,671.28,671.28,4846.0
1773767460000,671.35,671.6,671.35,671.6,4842.0
1773767520000,671.61,671.62,671.38,671.39,818.0
1773767580000,671.445,671.6,671.445,671.5,855.0
1773767640000,671.51,671.59,671.51,671.59,523.0
1773767700000,671.58,671.58,671.28,671.3,1307.0
1773767760000,671.32,671.49,671.32,671.49,509.0
1773767820000,671.46,671.46,671.38,671.38,3799.0
1773767880000,671.46,671.5,671.395,671.5,802.0
1773767940000,671.49,671.5,671.28,671.42,2923.0
1773768000000,671.4,671.42,671.15,671.15,7512.0
1773768060000,671.23,671.33,671.195,671.33,3036.0
1773768120000,671.35,671.58,671.345,671.505,4353.0
1773768180000,671.455,671.61,671.4,671.585,2285.0
1773768240000,671.52,671.58,671.43,671.43,2768.0
1773768300000,671.435,671.435,671.31,671.31,675.0
1773768360000,671.29,671.51,671.29,671.51,1039.0
1773768420000,671.52,671.67,671.52,671.59,1111.0
1773768480000,671.56,671.56,671.485,671.485,563.0
1773768540000,671.53,671.54,671.53,671.53,639.0
1773768600000,671.41,671.525,671.38,671.5,1637.0
1773768660000,671.52,671.69,671.52,671.68,1085.0
1773768720000,671.68,671.7,671.59,671.59,585.0
1773768780000,671.59,671.61,671.46,671.48,593.0
1773768840000,671.47,671.495,671.43,671.455,1225.0
1773768900000,671.435,671.605,671.435,671.57,1158.0
1773768960000,671.57,671.69,671.51,671.65,1226.0
1773769020000,671.67,671.92,671.67,671.9,1362.0
1773769080000,671.895,671.94,671.87,671.87,1373.0
1773769140000,671.89,671.96,671.88,671.89,677.0
1773769200000,671.86,671.94,671.735,671.735,1879.0
1773769260000,671.77,671.81,671.73,671.75,3039.0
1773769320000,671.68,671.89,671.68,671.82,2517.0
1773769380000,671.795,671.795,671.34,671.34,1780.0
1773769440000,671.42,671.42,671.21,671.26,908.0
